a_loss,alpha,alpha3,batch_size,critic_error,entropy,length,lr_a,lr_c,lr_l,lyapunov_error,return,target_entropy,tau,total_timesteps
216.33951,-0.39586216,0.2,256,3116.5264,0.9090231,74.5,9.8083e-05,0.00029424899999999995,0.00029424899999999995,21751.232,1854.5757008121266,-3,0.005,2048
199.6653,-1.2671152,,,2370.7512,0.86635906,247.9,9.6273e-05,0.00028881899999999995,0.00028881899999999995,29316.184,4359.190930724077,,,4096
117.47699,-2.8272355,,,1017.3673,0.8343299,381.0,9.3873e-05,0.000281619,0.000281619,90210.016,2386.2589071365524,,,6144
53.32589,-2.656147,,,322.2293,0.80584735,400.0,9.1873e-05,0.000275619,0.000275619,136832.73,354.7086428358919,,,8192
34.928326,-1.837743,,,173.31621,0.7041422,400.0,8.987300000000001e-05,0.00026961899999999997,0.00026961899999999997,152649.27,357.42757553585386,,,10240
28.641155,-1.2936308,,,143.27975,0.5892297,400.0,8.7873e-05,0.000263619,0.000263619,147994.0,325.92736580693384,,,12288
